Target,Group1,Group2,change_type,changes
1_LG_2_LG,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.0006665804542196, 'new': 0.0007}, 'q_value': {'old': 0.0157757374165313, 'new': 0.016566666666666667}}"
1_LG_2_LG,Chow control,NGBB,edited,"{'P_Value': {'old': 0.0046914024245862, 'new': 0.0047}, 'q_value': {'old': 0.069393660863671, 'new': 0.06952083333333334}}"
1_LG_2_LG,Chow control,Placebo,edited,"{'P_Value': {'old': 0.0406481927590894, 'new': 0.0406}, 'q_value': {'old': 0.356298973567327, 'new': 0.3558765432098765}}"
1_LG_2_LG,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.992917820271739, 'new': 0.9929}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,FMT,NGBB,edited,"{'P_Value': {'old': 0.999996583331096, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,FMT,Placebo,edited,"{'P_Value': {'old': 0.940392895842086, 'new': 0.9404}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.980589183002905, 'new': 0.9806}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.651609007124452, 'new': 0.6516}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
1_LG_2_LG,NGBB,Placebo,edited,"{'P_Value': {'old': 0.931379477694746, 'new': 0.9314}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,Chow control,FMT,edited,"{'P_Value': {'old': 0.999999997876816, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.985417965217444, 'new': 0.9854}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,Chow control,NGBB,edited,"{'P_Value': {'old': 0.849499521788581, 'new': 0.8495}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,Chow control,Placebo,edited,"{'P_Value': {'old': 0.820510448552753, 'new': 0.8205}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.991801589485218, 'new': 0.9918}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,FMT,NGBB,edited,"{'P_Value': {'old': 0.90248411093038, 'new': 0.9025}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,FMT,Placebo,edited,"{'P_Value': {'old': 0.882002015311219, 'new': 0.882}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.985295053934213, 'new': 0.9853}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.977619028433263, 'new': 0.9776}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5S_14R_lipoxinB4,NGBB,Placebo,edited,"{'P_Value': {'old': 0.999996805631985, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.999972801194751, 'new': 1.0}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.934608472099944, 'new': 0.9346}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
5_6_DiHETrE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.312757761019381, 'new': 0.3128}, 'q_value': {'old': 0.99999999998091, 'new': 1.0}}"
