Target,Group1,Group2,change_type,changes
13_KODE,FMT,Placebo,edited,"{'P_Value': {'old': 0.0441176470588235, 'new': 0.04411764705882353}, 'q_value': {'old': 0.268166089965398, 'new': 0.2735294117647059}}"
13_KODE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.260447991905792, 'new': 0.2548715759015092}, 'q_value': {'old': 0.65884185872104, 'new': 0.6451210421853089}}"
13_KODE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.260447991905792, 'new': 0.2548715759015092}, 'q_value': {'old': 0.65884185872104, 'new': 0.6451210421853089}}"
13_KODE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.948729289286565, 'new': 0.9476445296225945}}"
14_15_DiHETrE,Chow control,FMT,edited,"{'P_Value': {'old': 0.0007541478129713, 'new': 0.0007541478129713423}, 'q_value': {'old': 0.015820093219474, 'new': 0.021253256547374193}}"
14_15_DiHETrE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.000205609439692, 'new': 0.0006359753413841611}, 'q_value': {'old': 0.0063738926304547, 'new': 0.018859897976238677}}"
14_15_DiHETrE,Chow control,NGBB,edited,"{'P_Value': {'old': 8.50542646208281e-05, 'new': 0.0003912589466711976}, 'q_value': {'old': 0.0031019790626419, 'new': 0.013476697052007916}}"
14_15_DiHETrE,Chow control,Placebo,edited,"{'P_Value': {'old': 8.50542646208281e-05, 'new': 0.0003912589466711976}, 'q_value': {'old': 0.0031019790626419, 'new': 0.013476697052007916}}"
14_15_DiHETrE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.299118837818528, 'new': 0.2991188378185282}, 'q_value': {'old': 0.676332954970726, 'new': 0.6743770161726818}}"
14_15_DiHETrE,FMT,NGBB,edited,"{'P_Value': {'old': 0.724233283056812, 'new': 0.7242332830568124}, 'q_value': {'old': 0.955371564883455, 'new': 0.9513378648758376}}"
14_15_DiHETrE,FMT,Placebo,edited,"{'P_Value': {'old': 0.596153846153846, 'new': 0.5961538461538461}, 'q_value': {'old': 0.890460888226975, 'new': 0.8807190009261865}}"
14_15_DiHETrE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.0594980467103229, 'new': 0.060498190718590784}, 'q_value': {'old': 0.326449459826551, 'new': 0.33193697562412644}}"
14_15_DiHETrE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.486502997608126, 'new': 0.4790843272053482}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
14_15_DiHETrE,NGBB,Placebo,edited,"{'P_Value': {'old': 0.438463239546831, 'new': 0.430708328947102}, 'q_value': {'old': 0.785685573754437, 'new': 0.7740265621658066}}"
14_HDoHE,Chow control,FMT,edited,"{'P_Value': {'old': 0.125942684766214, 'new': 0.12594268476621417}, 'q_value': {'old': 0.491097261352533, 'new': 0.49109726135253323}}"
14_HDoHE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.650549746390371, 'new': 0.6443731499599503}, 'q_value': {'old': 0.909977034043587, 'new': 0.9099770340435871}}"
14_HDoHE,Chow control,NGBB,edited,"{'P_Value': {'old': 0.193186586375441, 'new': 0.18908180596451618}, 'q_value': {'old': 0.6079983936689, 'new': 0.59507979542132}}"
14_HDoHE,Chow control,Placebo,edited,"{'P_Value': {'old': 0.242648476394606, 'new': 0.23721752775378102}, 'q_value': {'old': 0.652568829416492, 'new': 0.6451210421853089}}"
14_HDoHE,FMT,FMT_NGBB,edited,"{'P_Value': {'old': 0.261411447169961, 'new': 0.2614114471699611}, 'q_value': {'old': 0.65884185872104, 'new': 0.6451210421853089}}"
14_HDoHE,FMT,NGBB,edited,"{'P_Value': {'old': 0.596153846153846, 'new': 0.5961538461538461}, 'q_value': {'old': 0.890460888226975, 'new': 0.8807190009261865}}"
14_HDoHE,FMT,Placebo,edited,"{'P_Value': {'old': 0.860105580693816, 'new': 0.8601055806938159}, 'q_value': {'old': 0.998624456985329, 'new': 0.9986244569853293}}"
14_HDoHE,FMT_NGBB,NGBB,edited,"{'P_Value': {'old': 0.486502997608126, 'new': 0.4790843272053482}, 'q_value': {'old': 0.819651789448473, 'new': 0.8093522693932313}}"
14_HDoHE,FMT_NGBB,Placebo,edited,"{'P_Value': {'old': 0.739898141971099, 'new': 0.7349852214121391}, 'q_value': {'old': 0.957696968730859, 'new': 0.9513378648758376}}"
14_HDoHE,NGBB,Placebo,unchanged,{}
16_HDoHE,Chow control,FMT,edited,"{'P_Value': {'old': 0.125942684766214, 'new': 0.12594268476621417}, 'q_value': {'old': 0.491097261352533, 'new': 0.49109726135253323}}"
16_HDoHE,Chow control,FMT_NGBB,edited,"{'P_Value': {'old': 0.379339061799689, 'new': 0.37217143978212575}, 'q_value': {'old': 0.737966261071055, 'new': 0.7310095462148736}}"
