"Group","count","cell","group","time","repeats","injectionID","X11_12_DiHETrE","X12_13_DiHODE","X12_13_DiHOME","X12_HHTrE","X14_HDoHE","X19_20_DiHDPA","X5_6_DiHETrE","X8iso_PGA1","X9_10_13_TriHOME","X9_12_13_TriHOME","X9_HODE","CA","DHEA","EPEA","FA22.5_w3","FA22.5_w6","FA22.6_w3","GLCA","HCA","PGE2","PGK2","TCA","TLCA","delta17_6_keto_PGF1a","LPA14.0","LPA16.1","LPA18.1","LPA20.3","LPA20.4","LPA22.6","LPI18.0","LPI18.1","LPS16.0","LPS18.0","LPS18.1","Sphingosine1P16.1","cLPA18.0","cLPA18.1"
"1143m22",40,"HCC1143","Migration",22,2,"2505MED_0040_A1",-7.64385618977472,-3.1456053222469,-1.58207999218803,-5.7178567712185,-4.21089678249862,-7.15842936260448,-8.96578428466209,-4.68038206579984,4.09246117311886,3.17360718575717,-4.23786383009889,-6.05889368905357,-6.05889368905357,-7.64385618977472,-7.38082178394093,-7.38082178394093,0.871843648509318,-2.49817873457909,1.31208426151475,-7.96578428466209,-1.56064282152574,-4.01158797427521,-1.39592867633114,-5.32192809488736,-6.79585928321977,-3.25153876699596,-1.63486740654747,-7.96578428466209,-2.31473259348316,-4.23786383009889,-0.390245037827557,-0.932361283124637,-2.53951952995999,-0.0923401721467106,1.04823618565285,-4.38082178394093,-1.67116353577046,-1.22095044716254
"1143m22",41,"HCC1143","Migration",22,3,"2505MED_0041_A1",-8.38082178394093,-3.33642766458248,-1.71311885221184,-5.79585928321977,-3.96578428466209,-7.96578428466209,-9.96578428466209,-4.608232280044,4.09356017616234,2.84538968605923,-4.7178567712185,-6.05889368905357,-5.96578428466209,-7.64385618977472,-7.96578428466209,-8.38082178394093,0.527070335512661,-2.54793176977619,1.23388806017428,-8.96578428466209,-2.68038206579984,-4.35107444054688,-1.40354186044101,-5.05889368905357,-6.79585928321977,-3.57346686188333,-2,-7.64385618977472,-3.01158797427521,-4.57346686188333,-0.101598140007807,-0.270555993166337,-3.04692104738749,-0.267079617891743,0.926758531986465,-4.38082178394093,-1.612637459164,-1.08314123530025
"1143m22",42,"HCC1143","Migration",22,4,"2505MED_0042_A1",-7.96578428466209,-3.64385618977472,-1.53951952995999,-5.44222232860507,-5.87832144341175,-8.38082178394093,-8.96578428466209,-4.96578428466209,3.71710060088314,2.60691594182521,-3.59074485331516,-6.15842936260448,-8.38082178394093,-7.96578428466209,-6.05889368905357,-6.79585928321977,0.611644543373662,-2.68965987938785,1.09356017616234,-9.96578428466209,-2.50635266602479,-4.47393118833241,-1.66657626627481,-5.57346686188333,-6.96578428466209,-3.59074485331516,-1.86249647625006,-7.38082178394093,-2.79585928321977,-4.0350469470992,0.00863030514344006,-0.352915787371046,-3.26534456652099,-0.186064929518683,0.776525151421912,-4.35107444054688,-1.70368943929191,-0.946193556304206
"1143m22",43,"HCC1143","Migration",22,5,"2505MED_0043_A1",-7.96578428466209,-3.32192809488736,-1.608232280044,-5.79585928321977,-4.21089678249862,-7.15842936260448,-8.96578428466209,-4.53951952995999,4.0678968095516,3.04001567884788,-4.32192809488736,-6.05889368905357,-6.64385618977472,-7.64385618977472,-7.38082178394093,-7.96578428466209,0.473007567916174,-2.62593428177746,1.38239058287347,-8.38082178394093,-1.3621579396759,-4.15842936260448,-1.3621579396759,-5.265344566521,-6.79585928321977,-3.32192809488736,-1.50635266602479,-7.64385618977472,-2.17788172527066,-4.01158797427521,-0.41119543298445,-1.48196850739783,-3.15842936260448,0.233888060174277,1.114367024952,-4.44222232860507,-1.56917950348023,-1.3621579396759
"1143m22",44,"HCC1143","Migration",22,6,"2505MED_0044_A1",-7.38082178394093,-3.87832144341175,-1.90508835297453,-5.7178567712185,-4.38082178394093,-7.38082178394093,-8.96578428466209,-5.15842936260448,3.99448921353214,3.03896287288467,-4.68038206579984,-5.96578428466209,-6.265344566521,-7.38082178394093,-7.96578428466209,-7.96578428466209,0.366252263699564,-2.46593839757888,1.36793014143188,-8.38082178394093,-1.21424022557299,-4.265344566521,-1.38082178394093,-6.50635266602479,-7.15842936260448,-3.83650126771712,-1.82623293226329,-7.96578428466209,-2.92139016530363,-4.18442457113743,-0.2688167584278,-0.85464861442738,-3.29335894269059,-0.219269963523624,1.08406426478847,-4.608232280044,-1.96015973546821,-1.75146516386132
"38c0",45,"HCC38","Control",0,1,"2505MED_0045_A1",-8.38082178394093,-3.49005085369569,-1.32192809488736,-5.265344566521,-5.87832144341175,-8.38082178394093,-8.96578428466209,-5.15842936260448,3.99512266910363,2.96162332828694,-3.33642766458248,-5.96578428466209,-7.96578428466209,-7.64385618977472,-5.7178567712185,-6.50635266602479,0.793271654498083,-2.84684321193858,1.30801131455218,-8.96578428466209,-2.36587144247496,-4.29335894269059,-1.3621579396759,-11.6040557708071,-5.87832144341175,-2.1456053222469,-0.63262893435147,-4.96578428466209,0.372952097911829,-0.997117491466879,-1.23107466443625,-1.8211260418302,-3.04692104738749,-0.129733929604017,0.521050736900963,-3.66200353648498,-2.2446850959549,-1.77102743023984
"38c0",46,"HCC38","Control",0,2,"2505MED_0046_A1",-8.38082178394093,-3.66200353648498,-1.45403163089471,-5.265344566521,-6.05889368905357,-7.96578428466209,-8.96578428466209,-5.57346686188333,3.86542397831313,2.47508488294878,-3.50635266602479,-6.265344566521,-8.38082178394093,-7.38082178394093,-5.96578428466209,-6.50635266602479,0.784922701562861,-2.59946207041627,1.15962918582123,-9.96578428466209,-2.39592867633114,-4.29335894269059,-1.63935479753978,-4.64385618977472,-6.15842936260448,-2.32192809488736,-0.778432211461591,-5.01158797427521,0.209141397838592,-1.05589120089205,-1.32553934843974,-2.87832144341175,-3.23786383009889,-0.217591435072627,0.931304843650669,-3.73696559416621,-2.55639334852439,-1.66657626627481
"38c0",47,"HCC38","Control",0,3,"2505MED_0047_A1",-7.96578428466209,-3.41119543298445,-1.35475948735473,-5.15842936260448,-5.64385618977472,-7.64385618977472,-8.96578428466209,-5.05889368905357,4.05883598009775,2.63110428236588,-3.32192809488736,-6.05889368905357,-8.96578428466209,-7.96578428466209,-5.96578428466209,-6.38082178394093,0.82130203988953,-2.88896868761126,1.37573453858316,-11.8898895034952,-2.47393118833241,-4.35107444054688,-1.39213709716876,-4.7178567712185,-6.05889368905357,-2.04097178105631,-0.44418384493836,-5.05889368905357,0.376290383337052,-0.87038726186953,-1.28982725172034,-2.26534456652099,-3.04692104738749,-0.275786313242642,0.640620928035698,-3.62593428177746,-2.48196850739783,-1.8059129478837
"38c0",48,"HCC38","Control",0,4,"2505MED_0048_A1",-7.96578428466209,-3.68038206579984,-1.42662547355406,-5.01158797427521,-6.05889368905357,-7.96578428466209,-8.96578428466209,-4.50635266602479,3.99702136870765,2.77167433390837,-3.53951952995999,-6.05889368905357,-7.96578428466209,-8.38082178394093,-6.05889368905357,-6.64385618977472,0.646162657157894,-2.39592867633114,1.387362540836,-9.96578428466209,-1.35475948735473,-4.32192809488736,-1.40736357139342,-5.50635266602479,-5.96578428466209,-1.97709959788992,-0.426625473554056,-5.21089678249862,0.711935356978922,-1.01741705307741,-1.44222232860507,-3.53951952995999,-4.35107444054688,-1.06793882865658,0.540027269257507,-3.85725982788392,-1.79085860216141,-1.94897599697553
"38c0",49,"HCC38","Control",0,5,"2505MED_0049_A1",-7.96578428466209,-3.89969509420431,-1.35475948735473,-5.265344566521,-6.265344566521,-7.96578428466209,-8.96578428466209,-10.6964122977451,3.96993327469786,3.08270258933025,-3.39592867633114,-6.15842936260448,-8.38082178394093,-7.96578428466209,-6.265344566521,-6.79585928321977,0.75702324650746,-2.68038206579984,1.25459404303314,-16.6651240597521,-2.73696559416621,-4.21089678249862,-1.47393118833241,-5.87832144341175,-5.96578428466209,-2.49005085369569,-0.514573172829758,-5.01158797427521,0.485426827170242,-0.974262438586392,-1.43440282414577,-3.35107444054688,-3.12029423371771,-0.680382065799839,0.711054321812066,-3.69899774396719,-2.46593839757888,-2.00578235259401
