sample_id,rt_start,rt_end,area,data_points,run_start_time,name,class,parent_mz,product_mz
65,64.4,65.4,210.0,22,2026-05-21 03:43:33,TG40:0-FA14:0,TG,712.64507,467.409
1,0.4,1.4,183.0,20,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
2,1.4,2.4,2676.0,123,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
3,2.4,3.4,1188.0,86,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
4,3.4,4.4,619.0,61,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
5,4.4,5.4,452.0,40,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
6,5.4,6.4,1857.0,97,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
7,6.4,7.4,835.0,62,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
8,7.4,8.4,156.0,18,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
9,8.4,9.4,457.0,43,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
10,9.4,10.4,536.0,57,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
11,10.4,11.4,2176.0,113,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
12,11.4,12.4,3248.0,144,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
13,12.4,13.4,1053.0,84,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
14,13.4,14.4,1158.0,77,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
15,14.4,15.4,320.0,30,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
16,15.4,16.4,538.0,52,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
17,16.4,17.4,530.0,51,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
18,17.4,18.4,343.0,36,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
19,18.4,19.4,694.0,59,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
20,19.4,20.4,1741.0,105,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
21,20.4,21.4,540.0,48,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
22,21.4,22.4,2196.0,108,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
23,22.4,23.4,942.0,74,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
24,23.4,24.4,2496.0,107,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
25,24.4,25.4,1158.0,82,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
26,25.4,26.4,2667.0,112,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
27,26.4,27.4,563.0,50,2026-05-21 03:43:33,TG42:2-FA18:2,TG,736.64512,439.378
