"Target","Comparison","P_Value","q_value"
"A_FA20.3_w9","FMT_NGBB-FMT",0.985578966540056,0.99999999998091
"A_FA20.3_w9","NGBB-FMT",0.9351040288391,0.99999999998091
"A_FA20.3_w9","Placebo-FMT",0.999613921584209,0.99999999998091
"A_FA20.3_w9","NGBB-FMT_NGBB",0.574609405198666,0.99999999998091
"A_FA20.3_w9","Placebo-FMT_NGBB",0.923326570197549,0.99999999998091
"A_FA20.3_w9","Placebo-NGBB",0.9647671579224,0.99999999998091
"A_FA20.4_w6","FMT-Chow control",0.00382641637058434,0.0614985345204418
"A_FA20.4_w6","FMT_NGBB-Chow control",0.00480410085065708,0.069610440897276
"A_FA20.4_w6","NGBB-Chow control",0.000360290955814468,0.0102322631451309
"A_FA20.4_w6","Placebo-Chow control",0.00128854290056823,0.0267853330175292
"A_FA20.4_w6","FMT_NGBB-FMT",0.975439579172916,0.99999999998091
"A_FA20.4_w6","NGBB-FMT",0.999433841148336,0.99999999998091
"A_FA20.4_w6","Placebo-FMT",0.999930763080596,0.99999999998091
"A_FA20.4_w6","NGBB-FMT_NGBB",0.882264828118343,0.99999999998091
"A_FA20.4_w6","Placebo-FMT_NGBB",0.984468739627238,0.99999999998091
"A_FA20.4_w6","Placebo-NGBB",0.994357928059459,0.99999999998091
"A_FA20.5_w3","FMT-Chow control",0.0167048329354298,0.171890309915292
"A_FA20.5_w3","FMT_NGBB-Chow control",0.145685576558339,0.861972994636841
"A_FA20.5_w3","NGBB-Chow control",0.27739513044056,0.99999999998091
"A_FA20.5_w3","Placebo-Chow control",0.400358752791845,0.99999999998091
"A_FA20.5_w3","FMT_NGBB-FMT",0.722217212796057,0.99999999998091
"A_FA20.5_w3","NGBB-FMT",0.572780273661427,0.99999999998091
"A_FA20.5_w3","Placebo-FMT",0.444154514026034,0.99999999998091
"A_FA20.5_w3","NGBB-FMT_NGBB",0.99808775532477,0.99999999998091
"A_FA20.5_w3","Placebo-FMT_NGBB",0.982163710338526,0.99999999998091
"A_FA20.5_w3","Placebo-NGBB",0.999294913452925,0.99999999998091
"A_FA22.4_w6","FMT-Chow control",6.24452535329389e-05,0.00221680650041933
"A_FA22.4_w6","FMT_NGBB-Chow control",6.09690207098446e-07,4.8699381311036e-05
"A_FA22.4_w6","NGBB-Chow control",2.14302480538997e-06,0.00013832251016608
"A_FA22.4_w6","Placebo-Chow control",2.25812079641674e-05,0.000943097509091697
"A_FA22.4_w6","FMT_NGBB-FMT",0.989116709480457,0.99999999998091
"A_FA22.4_w6","NGBB-FMT",0.998800644282732,0.99999999998091
"A_FA22.4_w6","Placebo-FMT",0.997226189864809,0.99999999998091
"A_FA22.4_w6","NGBB-FMT_NGBB",0.999344648200209,0.99999999998091
"A_FA22.4_w6","Placebo-FMT_NGBB",0.883889003838368,0.99999999998091
"A_FA22.4_w6","Placebo-NGBB",0.958973471987109,0.99999999998091
"A_FA22.5_w6","FMT-Chow control",0.00137852893746737,0.0271876540444954
"A_FA22.5_w6","FMT_NGBB-Chow control",0.000351863387516804,0.0102322631451309
"A_FA22.5_w6","NGBB-Chow control",5.15580266480242e-07,4.8699381311036e-05
"A_FA22.5_w6","Placebo-Chow control",1.61882145660597e-05,0.000718352021368898
"A_FA22.5_w6","FMT_NGBB-FMT",0.999667178210585,0.99999999998091
"A_FA22.5_w6","NGBB-FMT",0.514657374683127,0.99999999998091
"A_FA22.5_w6","Placebo-FMT",0.95413261591866,0.99999999998091
"A_FA22.5_w6","NGBB-FMT_NGBB",0.255902869497609,0.99999999998091
"A_FA22.5_w6","Placebo-FMT_NGBB",0.835706683565983,0.99999999998091
"A_FA22.5_w6","Placebo-NGBB",0.855860488328028,0.99999999998091
"A_HDCA","FMT-Chow control",0.902230494931166,0.99999999998091
"A_HDCA","FMT_NGBB-Chow control",0.869675606743086,0.99999999998091
"A_HDCA","NGBB-Chow control",0.82934417656599,0.99999999998091
"A_HDCA","Placebo-Chow control",0.969730182274032,0.99999999998091
"A_HDCA","FMT_NGBB-FMT",0.999998525196818,0.99999999998091
"A_HDCA","NGBB-FMT",0.999998877301795,0.99999999998091
"A_HDCA","Placebo-FMT",0.997425093327531,0.99999999998091
"A_HDCA","NGBB-FMT_NGBB",0.999964276659064,0.99999999998091
"A_HDCA","Placebo-FMT_NGBB",0.997578686768579,0.99999999998091
"A_HDCA","Placebo-NGBB",0.993003845926452,0.99999999998091
"A_NO2_aLA","FMT-Chow control",0.963626005488026,0.99999999998091
"A_NO2_aLA","FMT_NGBB-Chow control",0.486036028340745,0.99999999998091
"A_NO2_aLA","NGBB-Chow control",0.972633197775155,0.99999999998091
"A_NO2_aLA","Placebo-Chow control",0.504955956564957,0.99999999998091
"A_NO2_aLA","FMT_NGBB-FMT",0.941018459646364,0.99999999998091
"A_NO2_aLA","NGBB-FMT",0.999947517282532,0.99999999998091
"A_NO2_aLA","Placebo-FMT",0.94342846664111,0.99999999998091
"A_NO2_aLA","NGBB-FMT_NGBB",0.851239238501312,0.99999999998091
"A_NO2_aLA","Placebo-FMT_NGBB",0.999999999949999,0.99999999998091
"A_NO2_aLA","Placebo-NGBB",0.859068716499293,0.99999999998091
"A_PGE2","FMT-Chow control",0.978333736240531,0.99999999998091
"A_PGE2","FMT_NGBB-Chow control",0.323579101914218,0.99999999998091
"A_PGE2","NGBB-Chow control",0.977362132741164,0.99999999998091
